run,node_name,location,modem_name,mcc,country,iso_code,rat,tot_size_throughput_min,tot_size_throughput_max,tot_size_throughput_std,tot_size_throughput_mean,avg_speed_throughput_min,avg_speed_throughput_max,avg_speed_throughput_std,avg_speed_throughput_mean,tot_size_current_min,tot_size_current_max,tot_size_current_std,tot_size_current_mean,avg_speed_current_min,avg_speed_current_max,avg_speed_current_std,avg_speed_current_mean,diff_pw_idle_min,diff_pw_idle_max,diff_pw_idle_std,diff_pw_idle_mean,current_pw_idle_min,current_pw_idle_max,current_pw_idle_std,current_pw_idle_mean,voltage_pw_idle_min,voltage_pw_idle_max,voltage_pw_idle_std,voltage_pw_idle_mean
1,1,4,1,219,0,0.0,7,2097337.0,2097337.0,0.0,2097337.0,3841.064,3841.064,0.0,3841.064,2097337.0,2097337.0,0.0,2097337.0,3841.064,3841.064,0.0,3841.064,0.0050000029996226,0.0050553169999147,1.751400189401078e-06,0.005000337926999646,41.0,106.0,8.009153922016143,49.74,5028.0,5065.0,3.613667748229349,5055.592
1,1,4,1,219,0,0.0,7,2097337.0,2097337.0,0.0,2097337.0,3841.064,3841.064,0.0,3841.064,2097337.0,2097337.0,0.0,2097337.0,3841.064,3841.064,0.0,3841.064,0.0050000029996226,0.0115503790002549,0.0002071384080517292,0.005006923837004206,45.0,121.0,7.47040232590661,51.836,5030.0,5062.0,3.044852562461105,5054.988
1,1,4,1,219,0,0.0,7,2097337.0,2097337.0,0.0,2097337.0,3841.064,3841.064,0.0,3841.064,2097337.0,2097337.0,0.0,2097337.0,3841.064,3841.064,0.0,3841.064,0.0050000029996226,0.0050424289997863,1.3468139483803468e-06,0.005000316141994473,41.0,117.0,8.687804610426555,49.273,5033.0,5062.0,3.198648206719676,5055.891
1,1,4,1,219,0,0.0,7,2097337.0,2097337.0,0.0,2097337.0,3841.064,3841.064,0.0,3841.064,2097337.0,2097337.0,0.0,2097337.0,3841.064,3841.064,0.0,3841.064,0.0050000030000774,0.0050707249997685,2.5714110400365337e-06,0.0050004162700010525,41.0,115.0,7.183796066560209,49.209,5032.0,5062.0,3.372347658342471,5055.738
1,1,4,1,219,0,0.0,7,2097337.0,2097337.0,0.0,2097337.0,3841.064,3841.064,0.0,3841.064,2097337.0,2097337.0,0.0,2097337.0,3841.064,3841.064,0.0,3841.064,0.005000003999612,0.0050879289997283,3.26708347583819e-06,0.005000437221999119,41.0,105.0,7.30151156070242,48.921,5031.0,5065.0,3.064925573120601,5055.975
1,1,4,1,219,0,0.0,7,2097337.0,2097337.0,0.0,2097337.0,3841.064,3841.064,0.0,3841.064,2097337.0,2097337.0,0.0,2097337.0,3841.064,3841.064,0.0,3841.064,0.005000003999612,0.0050719480000225,3.0717040258853746e-06,0.005000454290994139,41.0,115.0,7.979189587073771,49.351,5031.0,5070.0,3.5372888505762603,5055.91
1,1,4,1,219,0,0.0,7,2097337.0,2097337.0,0.0,2097337.0,3841.064,3841.064,0.0,3841.064,2097337.0,2097337.0,0.0,2097337.0,3841.064,3841.064,0.0,3841.064,0.005000003999612,0.0050396520000504,1.2588978823120457e-06,0.005000316487998997,41.0,116.0,6.7528732623452425,48.952,5033.0,5063.0,3.0391973810070776,5055.746
1,1,4,1,219,0,0.0,7,2097337.0,2097337.0,0.0,2097337.0,3841.064,3841.064,0.0,3841.064,2097337.0,2097337.0,0.0,2097337.0,3841.064,3841.064,0.0,3841.064,0.005000003999612,0.0050632450002012,2.5325412610223447e-06,0.0050003975960020855,41.0,127.0,8.076808455995153,51.42,5031.0,5062.0,3.1655072952743177,5055.328
1,1,4,1,219,0,0.0,7,2097337.0,2097337.0,0.0,2097337.0,3841.064,3841.064,0.0,3841.064,2097337.0,2097337.0,0.0,2097337.0,3841.064,3841.064,0.0,3841.064,0.0050000040000668,0.0050674859999162,2.6994028996983308e-06,0.005000400681992643,39.0,124.0,8.498638176252173,49.624,5031.0,5066.0,2.973570433186631,5056.061
1,1,4,1,219,0,0.0,7,2097337.0,2097337.0,0.0,2097337.0,3841.064,3841.064,0.0,3841.064,2097337.0,2097337.0,0.0,2097337.0,3841.064,3841.064,0.0,3841.064,0.0050000049996015,0.0050567450002745,2.3389354151226563e-06,0.005000399559994048,41.0,115.0,8.404178378295782,49.304,5032.0,5062.0,2.8664215273356364,5055.938
1,1,4,1,219,0,0.0,7,2097337.0,2097337.0,0.0,2097337.0,3841.064,3841.064,0.0,3841.064,2097337.0,2097337.0,0.0,2097337.0,3841.064,3841.064,0.0,3841.064,0.0050000050000562,0.0050041539998346,2.0749008908311846e-07,0.005000282949998974,41.0,115.0,7.683139112799308,49.102,5035.0,5063.0,3.117507795476049,5055.692
1,1,4,1,219,0,0.0,7,2097337.0,2097337.0,0.0,2097337.0,3841.064,3841.064,0.0,3841.064,2097337.0,2097337.0,0.0,2097337.0,3841.064,3841.064,0.0,3841.064,0.0050000050000562,0.0123425430001589,0.00023219571835040017,0.0050077941959934405,41.0,112.0,7.538952898832226,49.205,5030.0,5063.0,3.37639912792735,5055.323
1,1,4,1,219,0,0.0,7,2097337.0,2097337.0,0.0,2097337.0,3841.064,3841.064,0.0,3841.064,2097337.0,2097337.0,0.0,2097337.0,3841.064,3841.064,0.0,3841.064,0.0050000049996015,0.0050440979998711,1.41616131804337e-06,0.0050003206180103486,41.0,113.0,7.828562217060447,49.03,5033.0,5065.0,3.2717186833751573,5055.331
1,1,4,1,219,0,0.0,7,2097337.0,2097337.0,0.0,2097337.0,3841.064,3841.064,0.0,3841.064,2097337.0,2097337.0,0.0,2097337.0,3841.064,3841.064,0.0,3841.064,0.0050000059995909,0.0050422649997017,2.0773104615558033e-06,0.005000375086010037,41.0,115.0,7.828851890406536,49.213,5033.0,5062.0,2.940586174055523,5055.34
1,1,4,1,219,0,0.0,7,2097337.0,2097337.0,0.0,2097337.0,3841.064,3841.064,0.0,3841.064,2097337.0,2097337.0,0.0,2097337.0,3841.064,3841.064,0.0,3841.064,0.0050000059995909,0.0050007090003418,1.7257749260732086e-07,0.005000280749002697,41.0,111.0,7.718236273344527,51.28,5031.0,5061.0,3.0713106239765873,5054.522
1,1,4,1,219,0,0.0,7,2097337.0,2097337.0,0.0,2097337.0,3841.064,3841.064,0.0,3841.064,2097337.0,2097337.0,0.0,2097337.0,3841.064,3841.064,0.0,3841.064,0.0050000060000456,0.0050551169997561,2.0570113242003935e-06,0.005000375447983016,41.0,118.0,7.568439818171336,49.9,5033.0,5062.0,3.0351426805163046,5054.989
1,1,4,1,219,0,0.0,7,2097337.0,2097337.0,0.0,2097337.0,3841.064,3841.064,0.0,3841.064,2097337.0,2097337.0,0.0,2097337.0,3841.064,3841.064,0.0,3841.064,0.0050000060000456,0.0050677280000854,3.248544005498755e-06,0.005000480287001165,41.0,123.0,8.059538147757296,49.099,5032.0,5065.0,3.196537008834366,5055.037
1,1,4,1,219,0,0.0,7,2097337.0,2097337.0,0.0,2097337.0,3841.064,3841.064,0.0,3841.064,2097337.0,2097337.0,0.0,2097337.0,3841.064,3841.064,0.0,3841.064,0.0050000060000456,0.0050241180001648,1.0903857856637775e-06,0.005000355624992561,41.0,108.0,6.901129587943521,48.994,5026.0,5068.0,3.3662005742836336,5054.655
1,1,4,1,219,0,0.0,7,2097337.0,2097337.0,0.0,2097337.0,3841.064,3841.064,0.0,3841.064,2097337.0,2097337.0,0.0,2097337.0,3841.064,3841.064,0.0,3841.064,0.0050000070000351,0.0050337480001871,1.4508078142276678e-06,0.005000352257999065,41.0,115.0,8.246344717582527,49.151,5027.0,5066.0,3.384134064035446,5055.283
1,1,4,1,219,0,0.0,7,2097337.0,2097337.0,0.0,2097337.0,3841.064,3841.064,0.0,3841.064,2097337.0,2097337.0,0.0,2097337.0,3841.064,3841.064,0.0,3841.064,0.0050000069995803,0.0050240439995832,9.100406767680628e-07,0.005000323544000317,41.0,115.0,7.9972657990253335,49.264,5035.0,5063.0,3.0939244283546894,5055.198
1,1,4,1,219,0,0.0,7,2097337.0,2097337.0,0.0,2097337.0,3841.064,3841.064,0.0,3841.064,2097337.0,2097337.0,0.0,2097337.0,3841.064,3841.064,0.0,3841.064,0.0050000069995803,0.0050888390001091,3.1279271355055266e-06,0.005000409987996541,44.0,116.0,7.54525857256906,52.002,5031.0,5062.0,3.112777760358822,5054.048
